,0,1,2,3,granger_scores
3400,Jun,Cck,Activation,1360635,33.581467
3401,Jun,Ccl2,Activation,18443042,-59.16019
3402,Jun,Ccl5,Unknown,11413310,-57.6982
3403,Jun,Ccnd1,Activation,10500157;16393119;19435822;20220142,-74.42383
3404,Jun,Ccnd1,Repression,21474819,-74.42383
3405,Jun,Ccnd1,Unknown,14672732,-74.42383
3407,Jun,Cdk5r1,Unknown,22550165,78.95734
3408,Jun,Cdkn1a,Repression,18094076,52.033245
3409,Jun,Cdkn1a,Unknown,21278055,52.033245
3411,Jun,Csf1,Activation,7642615,-89.82625
3422,Jun,Dcn,Repression,8798756,-48.39381
3423,Jun,Ddit3,Activation,22622069,-123.84033
3429,Jun,Ets2,Unknown,22354960,-45.141876
3430,Jun,Ezh2,Unknown,23116973,-36.32307
3439,Jun,Gclc,Unknown,11233143;11912197;16054171,49.26218
3450,Jun,Il1b,Unknown,11306276,-124.52305
3461,Jun,Jun,Activation,9502786,-0.0
3462,Jun,Jun,Unknown,19671687,-0.0
3471,Jun,Mat2a,Activation,14530285,-121.41631
3503,Jun,Npy,Unknown,8036020,-152.03232
3532,Jun,Smad7,Activation,15579469,112.2769
3533,Jun,Smn1,Repression,15550677,-105.00512
3534,Jun,Sod2,Unknown,15330761,91.57182
3540,Jun,Stmn1,Activation,15474303,31.898756
3560,Junb,Cdkn1a,Unknown,10506225,-61.52458
3562,Junb,Clu,Unknown,10406964,-52.643303
3564,Junb,Il1b,Unknown,11306276,110.795845
3572,Junb,Smad4,Unknown,11854297,57.93101
3575,Jund,Ccl5,Unknown,10760799,63.099285
3576,Jund,Ccnd1,Activation,20220142,93.006065
3579,Jund,Cdkn1a,Unknown,10506225,-62.911636
3580,Jund,Clu,Unknown,10406964,-40.282154
3587,Jund,Gast,Activation,21852362,-50.559357
3588,Jund,Gclc,Unknown,16054171,-31.382153
3608,Jund,Sox4,Activation,23482931,-34.172832
3638,Kdm4b,Ccnd1,Unknown,20682797,69.21094
3648,Klf10,Cdkn1a,Activation,12173049,45.97359
3654,Klf10,Stmn1,Repression,18930345,36.592144
3655,Klf11,Col1a2,Unknown,24069400,30.334726
3685,Klf4,Atf3,Activation,21205742,99.32117
3689,Klf4,Ccnd1,Activation,21132436;21224073,-121.23874
3690,Klf4,Ccnd1,Repression,10908361;19737957,-121.23874
3694,Klf4,Cdkn1a,Activation,18645021;19737957;21132436;21652709,-68.61741
3695,Klf4,Cdkn1a,Repression,21224073;22750490,-68.61741
3696,Klf4,Cdkn1b,Activation,22170594,-52.569397
3706,Klf4,Hspa8,Activation,18379898,21.346571
3707,Klf4,Ifitm3,Repression,21531817,62.523506
3708,Klf4,Il1b,Repression,22449968,-98.070015
3711,Klf4,Krt19,Activation,10859317,-24.759674
3717,Klf4,Odc1,Repression,12297499,-36.681847
