,0,1,granger_scores,activation,both_increasing
4544,Nfkb1,Btg2,-68.306435,False,False
4549,Nfkb1,Cck,35.670998,True,False
4555,Nfkb1,Ccl2,78.205414,True,False
4559,Nfkb1,Ccl3,46.763725,True,False
4561,Nfkb1,Ccl4,56.554813,True,False
4562,Nfkb1,Ccl5,37.520695,True,False
4566,Nfkb1,Ccnd1,116.86274,True,False
4569,Nfkb1,Ccnd2,113.211334,True,False
4584,Nfkb1,Cd74,-51.163074,False,False
4592,Nfkb1,Cdkn1a,80.70601,True,False
4595,Nfkb1,Cflar,30.00525,True,False
4599,Nfkb1,Col1a1,39.778454,True,False
4600,Nfkb1,Col1a2,93.05049,True,False
4607,Nfkb1,Crmp1,-111.977455,False,False
4610,Nfkb1,Csf1,70.74304,True,False
4618,Nfkb1,Cxcl10,104.57266,True,False
4621,Nfkb1,Cxcl2,130.4922,True,False
4642,Nfkb1,Egr1,-117.01657,False,False
4643,Nfkb1,Elf3,32.415527,True,False
4664,Nfkb1,Gadd45g,62.592724,True,False
4666,Nfkb1,Gclc,39.81352,True,False
4673,Nfkb1,Gsk3b,33.873405,True,False
4676,Nfkb1,Hbegf,-63.09707,False,False
4688,Nfkb1,Icam1,66.28513,True,False
4690,Nfkb1,Ier3,101.9031,True,False
4708,Nfkb1,Il1b,105.104355,True,False
4727,Nfkb1,Junb,54.054092,True,False
4728,Nfkb1,Kdm2a,93.18651,True,False
4734,Nfkb1,Lpl,29.10365,True,False
4737,Nfkb1,Mat2a,44.854557,True,False
4743,Nfkb1,Mif,66.035675,True,False
4763,Nfkb1,Ncor1,103.44278,True,False
4764,Nfkb1,Ncor2,54.87971,True,False
4766,Nfkb1,Nfkbia,30.810804,True,False
4769,Nfkb1,Nfkbiz,-48.597065,False,False
4780,Nfkb1,Nrf1,49.624817,True,False
4805,Nfkb1,Ptges,-86.55059,False,False
4813,Nfkb1,Reps2,95.55313,True,False
4814,Nfkb1,Rgs4,78.254326,True,False
4817,Nfkb1,S100a6,-53.34601,False,False
4827,Nfkb1,Slc25a27,100.81157,True,False
4832,Nfkb1,Sod2,84.330444,True,False
4834,Nfkb1,Sqstm1,51.888893,True,False
4850,Nfkb1,Thbd,77.79799,True,False
4861,Nfkb1,Tnfaip3,32.527332,True,False
4867,Nfkb1,Tnfrsf9,112.081566,True,False
4880,Nfkb1,Trim21,52.086388,True,False
4902,Nfkbia,Ccl5,57.627605,True,False
4908,Nfkbia,Icam1,49.99302,True,False
4910,Nfkbia,Il1b,98.033646,True,False
4914,Nfkbia,Nfkb1,45.28277,True,False
4922,Nfkbia,S100a6,-41.62888,False,False
4930,Nfya,Ccnd2,-64.45551,False,False
4931,Nfya,Cdkn1b,82.05162,True,False
4933,Nfya,Ddit3,-116.24648,False,False
5185,Nr4a1,Cdkn1b,-52.700478,False,False
5257,Nrf1,Prdx5,-39.06488,False,False
5262,Nrf1,Tomm34,120.61025,True,False
5270,Nupr1,Cdkn1a,-84.14623,False,False
5375,Pax6,Itgb1,80.063416,True,True
5813,Ptma,Cdkn1a,94.03991,True,True
6767,Smad4,Cdkn1a,74.32648,True,False
6770,Smad4,Dach1,32.980553,True,False
6776,Smad4,Jun,-51.92339,False,False
6779,Smad4,Runx1t1,55.74564,True,False
6782,Smad4,Smad7,97.239204,True,False
6785,Smad4,Ucp2,44.667393,True,False
6788,Smad7,Cdkn1a,63.709053,True,True
6822,Snai2,Cd44,-123.45381,False,False
6835,Snai2,Ube2d3,-74.182465,False,False
6890,Sox4,Ago1,74.10168,True,False
7815,Stat1,App,92.741035,True,False
7817,Stat1,Ccl2,156.82126,True,False
7818,Stat1,Ccl3,177.49055,True,False
7824,Stat1,Cdkn1a,-44.768093,False,False
